Date,avr_d,tw_d,avr_t,tw_t
2017/2/17,0.003251349,-0.001914,0.098766051,0.170964
2017/2/18,0.003783545,0.002482,0.102549597,0.173446
2017/2/20,-0.000332922,-0.00382,0.102216675,0.169626
2017/2/21,-0.000135562,0.001394,0.102081113,0.17102
2017/2/22,0.00361178,0.003592,0.105692893,0.174612
2017/2/23,-0.000903518,-0.001203,0.104789375,0.173409
2017/2/24,0.001657056,-0.002818,0.106446431,0.170591
2017/3/1,0.000574967,-0.006079,0.107021398,0.164512
2017/3/2,-0.000987407,0.002061,0.106033991,0.166573
2017/3/3,-0.003707578,-0.003193,0.102326413,0.16338
2017/3/6,0.005601802,0.004835,0.107928215,0.168215
2017/3/7,0.002167422,0.004655,0.110095638,0.17287
2017/3/8,0.001870406,0.000252,0.111966043,0.173122
2017/3/9,-0.008395317,-0.008955,0.103570726,0.164167
2017/3/10,-0.004067192,-0.002732,0.099503535,0.161435
2017/3/13,0.006873089,0.00532,0.106376623,0.166755
2017/3/14,0.002103915,0.006343,0.108480538,0.173098
2017/3/15,0.000916881,-0.001026,0.109397419,0.172072
2017/3/16,0.003315499,0.008258,0.112712918,0.18033
2017/3/17,0.004379379,0.007025,0.117092298,0.187355
2017/3/20,0.004521568,0.000495,0.121613865,0.18785
2017/3/21,-0.000543459,0.003461,0.121070406,0.191311
2017/3/22,0.001534299,-0.004406,0.122604705,0.186905
2017/3/23,0.003434078,0.00096,0.126038783,0.187865
2017/3/24,5.61805E-05,-0.002287,0.126094963,0.185578
2017/3/27,-0.007319867,-0.003749,0.118775096,0.181829
2017/3/28,-0.005090339,-0.001656,0.113684756,0.180173
2017/3/29,0.002198063,0.000804,0.115882819,0.180977
2017/3/30,-0.002522348,-0.000935,0.113360471,0.180042
2017/3/31,0.000651186,-0.001772,0.114011657,0.17827
2017/4/5,0.003109361,0.012569,0.117121018,0.190839
2017/4/6,0.000626336,-0.004605,0.117747354,0.186234
2017/4/7,-0.001349697,-0.002437,0.116397657,0.183797
2017/4/10,0.001569123,0.00216,0.11796678,0.185957
2017/4/11,-0.004433132,-0.007171,0.113533648,0.178786
2017/4/12,-0.000901867,-0.001825,0.112631781,0.176961
2017/4/13,0.000131286,0.001811,0.112763067,0.178772
2017/4/14,-0.00688499,-0.010155,0.105878077,0.168617
2017/4/17,-0.000845812,-0.000403,0.105032265,0.168214
2017/4/18,0.001892161,0.003289,0.106924426,0.171503
2017/4/19,-0.001850926,-0.011504,0.1050735,0.159999
2017/4/20,-0.000106834,-0.001357,0.104966666,0.158642
2017/4/21,0.001612815,0.007266,0.106579481,0.165908
2017/4/24,-0.000619363,0.000082,0.105960119,0.16599
2017/4/25,0.001691656,0.013135,0.107651775,0.179125
2017/4/26,0.001231501,0.002925,0.108883275,0.18205
2017/4/27,0.000293723,-0.001619,0.109176998,0.180431
2017/4/28,0.00060901,-0.000183,0.109786008,0.180248
2017/5/2,0.001501816,0.006366,0.111287824,0.186614
2017/5/3,-0.000534056,0.00006,0.110753767,0.186674
2017/5/4,0.001499409,0.001486,0.112253176,0.18816
2017/5/5,-0.000740813,-0.007688,0.111512363,0.180472
2017/5/8,-0.000313234,-0.000828,0.111199129,0.179644
2017/5/9,-0.003394458,-0.003734,0.107804671,0.17591
2017/5/10,0.002467901,0.004397,0.110272572,0.180307
2017/5/11,0.000177336,0.001911,0.110449909,0.182218
2017/5/12,0.001624973,-0.000163,0.112074882,0.182055
2017/5/15,0.001418002,0.00608,0.113492883,0.188135
2017/5/16,-0.000603915,0.000908,0.112888968,0.189043
2017/5/17,0.001366134,-0.001612,0.114255102,0.187431
2017/5/18,-3.92446E-05,-0.004784,0.114215857,0.182647
2017/5/19,0.001015071,-0.002073,0.115230928,0.180574
2017/5/22,0.001239262,0.003896,0.11647019,0.18447
2017/5/23,0.000554628,0.001358,0.117024818,0.185828
2017/5/24,0.001710772,0.003866,0.11873559,0.189694
2017/5/25,0.001059937,0.006103,0.119795527,0.195797
2017/5/26,0.00053048,-0.000781,0.120326008,0.195016
2017/5/31,0.000823307,-0.002928,0.121149315,0.192088
2017/6/1,0.001262308,0.001519,0.122411622,0.193607
2017/6/2,0.007996419,0.005784,0.130408042,0.199391
2017/6/3,0.001827339,0.000662,0.13223538,0.200053
2017/6/5,0.001177872,0.005119,0.133413253,0.205172
2017/6/6,-3.91332E-05,-0.000818,0.133374119,0.204354
2017/6/7,-0.001333744,-0.000571,0.132040376,0.203783
2017/6/8,0.001357002,0.000296,0.133397378,0.204079
2017/6/9,-0.001572637,-0.002115,0.131824741,0.201964
2017/6/12,-0.001072504,-0.006071,0.130752237,0.195893
2017/6/13,0.000431695,0.001784,0.131183932,0.197677
2017/6/14,-0.003742998,-0.005552,0.127440934,0.192125
2017/6/15,0.000276366,0.000925,0.1277173,0.19305
2017/6/16,0.001798576,0.004587,0.129515876,0.197637
2017/6/19,0.001620037,0.009652,0.131135913,0.207289
2017/6/20,-0.000125469,0.005326,0.131010444,0.212615
2017/6/21,0.001972566,0.004016,0.132983009,0.216631
2017/6/22,0.00059083,0.003514,0.133573839,0.220145
2017/6/23,-0.00052836,-0.001425,0.133045479,0.21872
2017/6/26,0.00226293,0.018271,0.13530841,0.236991
2017/6/27,-6.16908E-05,0.003357,0.135246719,0.240348
2017/6/28,-0.001065916,-0.008602,0.134180803,0.231746
2017/6/29,-0.000449231,0.002306,0.133731572,0.234052
2017/6/30,0.000781695,-0.001276,0.134513267,0.232776
2017/7/3,0.001827667,0.004312,0.136340933,0.237088
2017/7/4,-0.000575452,-0.005199,0.135765481,0.231889
2017/7/5,0.000849055,0.005676,0.136614536,0.237565
