season,st_id,beta
202004,2905,0.737779431
202004,2916,0.024116661
202004,3049,0.991053607
202004,3056,0.298877803
202004,3265,0.679548262
202004,3311,0.70462248
202004,3481,1.470577384
202004,3522,0.376079319
202004,3543,1.43475059
202004,3550,0.847931836
202004,3607,0.77893123
202004,3712,1.605098297
202004,4414,0.889373339
202004,4550,0.096498837
202004,4702,0.984383192
202004,4942,0.374130713
202004,4960,1.031937599
202004,4972,0.135191132
202004,5213,0.249341051
202004,5356,0.322882728
202004,5392,0.498193109
202004,5519,0.514678235
202004,5522,0.827597308
202004,5531,1.712756313
202004,5534,0.271715655
202004,5603,1.318455633
202004,6116,1.296474718
202004,6163,0.728157554
202004,6164,0.831771463
202004,6171,0.447050615
202004,6186,0.088112435
202004,6603,0.915659935
202004,6605,1.222737004
202004,8064,0.891522006
202004,8107,1.0399153
202004,8289,0.775897472
202004,9904,0.810482625
202004,9927,0.469787674
202004,9934,0.248603191
202101,1307,1.005462077
202101,1312,1.204883564
202101,1314,1.559540884
202101,1339,0.324038901
202101,1416,1.075506773
202101,1417,0.673637807
202101,1447,1.438297779
202101,1451,0.968875571
202101,1452,0.566987607
202101,1456,1.491803201
202101,1460,-0.564048362
202101,1466,1.17613502
202101,1473,0.778241279
202101,1524,1.294239578
202101,1528,1.083693338
202101,1531,1.369924036
202101,1540,0.73808437
202101,1809,1.791508437
202101,1815,1.549643225
202101,2062,1.40100826
202101,2069,1.781290633
202101,2201,1.155857418
202101,2208,1.67694604
202101,2359,0.993436626
202101,2363,1.840561163
202101,2367,0.667465395
202101,2369,1.830477908
202101,2409,2.238908573
202101,2430,0.745694941
202101,2431,1.239470945
202101,2489,1.091353051
202101,2506,0.830571231
202101,2511,0.774070438
202101,2516,0.991311223
202101,2527,0.604638815
202101,2538,0.587881852
202101,2611,1.782478193
202101,2612,1.87145931
202101,2736,1.472119562
202101,2809,0.62550081
202101,2823,0.885323986
202101,2851,0.943041266
202101,2867,0.890410916
202101,2881,0.956957226
